Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.24     18.68     0.05                             supervoxel::JaccardIndexWithOffset(supervoxel const&)
  0.24     18.73     0.05                             supervoxel::numHoles()
  0.24     18.78     0.05                             __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.24     18.83     0.05                             std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.24     18.88     0.05                             std::deque<int, std::allocator<int> >::pop_front()
  0.24     18.93     0.05                             __gnu_cxx::__enable_if<std::__is_scalar<unsigned long long>::__value, unsigned long long*>::__type std::__fill_n_a<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  0.24     18.98     0.05                             void std::swap<unsigned long long>(unsigned long long&, unsigned long long&)
  0.19     19.02     0.04                             float supervoxel::intensityThreshold<float>(int, float, unsigned int*, bool)
  0.19     19.06     0.04                             bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.19     19.10     0.04                             void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.19     19.14     0.04                             void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.19     19.18     0.04                             std::deque<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&)
  0.19     19.22     0.04                             std::vector<unsigned long long, std::allocator<unsigned long long> >::resize(unsigned long, unsigned long long)
  0.19     19.26     0.04                             void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.15     19.29     0.03       31     0.97     0.97  Array_Range
  0.15     19.32     0.03                             fromXMLString(char const*, int, XML*)
  0.15     19.35     0.03                             GetNextToken(XML*, int*, XMLTokenTypeTag*)
  0.15     19.38     0.03                             std::deque<int, std::allocator<int> >::empty() const
  0.15     19.41     0.03                             std::deque<int, std::allocator<int> >::begin()
  0.15     19.44     0.03                             std::queue<int, std::deque<int, std::allocator<int> > >::front()
  0.15     19.47     0.03                             std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.15     19.50     0.03                             void std::__pop_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.15     19.53     0.03                             float const& std::min<float>(float const&, float const&)
  0.15     19.56     0.03                             bool std::operator==<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.12     19.58     0.03  2891361     0.00     0.00  make_shape
  0.12     19.61     0.03                             std::remove_reference<float&>::type&& std::move<float&>(float&&&)
  0.10     19.63     0.02  2891361     0.00     0.00  array_dsize
  0.10     19.65     0.02  2891361     0.00     0.00  make_start
  0.10     19.67     0.02  2891361     0.00     0.00  new_array
  0.10     19.69     0.02       31     0.65     0.65  translate
  0.10     19.71     0.02                             supervoxel::isNeighboring(supervoxel const&, int, long long*)
  0.10     19.73     0.02                             unsigned short supervoxel::intensityThreshold<unsigned short>(int, float, unsigned int*, bool)
  0.10     19.75     0.02                             bool __gnu_cxx::operator==<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.10     19.77     0.02                             bool __gnu_cxx::operator==<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.10     19.79     0.02                             bool __gnu_cxx::operator!=<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > >(__gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&, __gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&)
