Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.05     20.40     0.01                             float const& std::max<float>(float const&, float const&)
  0.05     20.41     0.01                             unsigned long long* std::fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  0.05     20.42     0.01                             float const& std::__median<float>(float const&, float const&, float const&)
  0.05     20.43     0.01                             unsigned long long const& std::__median<unsigned long long>(unsigned long long const&, unsigned long long const&, unsigned long long const&)
  0.05     20.44     0.01                             void std::sort_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.05     20.45     0.01                             __gnu_cxx::__normal_iterator<char*, std::string> std::transform<__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int)>(__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int))
  0.05     20.46     0.01                             bool std::operator==<std::_List_iterator<supervoxel>*, std::_List_iterator<supervoxel>*>(std::move_iterator<std::_List_iterator<supervoxel>*> const&, std::move_iterator<std::_List_iterator<supervoxel>*> const&)
  0.02     20.46     0.01                             Eigen::DenseCoeffsBase<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, 1>::DenseCoeffsBase()
  0.02     20.47     0.01                             Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator()(long)
  0.02     20.47     0.01                             Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator[](long)
  0.02     20.48     0.01                             Eigen::internal::special_scalar_op_base<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, double, double, false>::special_scalar_op_base()
  0.02     20.48     0.01                             __gnu_cxx::new_allocator<std::_List_iterator<supervoxel> >::allocate(unsigned long, void const*)
  0.02     20.49     0.01                             XMLNode::getChildNodeWithAttribute(char const*, char const*, char const*, int*) const
  0.02     20.49     0.01                             __gnu_cxx::new_allocator<float>::max_size() const
  0.02     20.50     0.01                             std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.02     20.50     0.01                             std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_check_len(unsigned long, char const*) const
  0.02     20.51     0.01                             std::__niter_base<__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >, true>::__b(__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >)
  0.02     20.51     0.01                             std::_List_iterator<lineage>::operator--()
  0.02     20.52     0.01                             void std::vector<float, std::allocator<float> >::_M_insert_aux<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&)
  0.02     20.52     0.01                             std::move_iterator<std::_List_iterator<supervoxel>*> std::make_move_iterator<std::_List_iterator<supervoxel>*>(std::_List_iterator<supervoxel>* const&)
  0.00     20.52     0.00  5782753     0.00     0.00  allocate_array_data
  0.00     20.52     0.00  2891392     0.00     0.00  allocate_array_dims
  0.00     20.52     0.00  2891392     0.00     0.00  allocate_array_text
  0.00     20.52     0.00  2891361     0.00     0.00  array_size
  0.00     20.52     0.00  2891299     0.00     0.00  Idx2CoordA
  0.00     20.52     0.00    25172     0.00     0.00  Get_Tiff_Tag
  0.00     20.52     0.00    15283     0.00     0.00  get_integer_tag
  0.00     20.52     0.00     8990     0.00     0.00  optseek
  0.00     20.52     0.00     6293     0.00     0.00  Grab_Message_8qm5
  0.00     20.52     0.00     3596     0.00     0.00  allocate_tifd_values
  0.00     20.52     0.00     2697     0.00     0.00  Free_Tiff_IFD
  0.00     20.52     0.00     2697     0.00     0.00  free_tifd
  0.00     20.52     0.00     1860     0.00     0.00  Free_Tiff_Reader
  0.00     20.52     0.00     1860     0.00     0.00  Tiff_Reader_Refcount
  0.00     20.52     0.00     1860     0.00     0.00  free_treader
  0.00     20.52     0.00     1798     0.00     0.00  Get_Tiff_IFD_Stream
  0.00     20.52     0.00     1798     0.00     0.00  Inc_Tiff_Reader
  0.00     20.52     0.00     1798     0.00     0.00  Read_Tiff_IFD
  0.00     20.52     0.00     1798     0.00     0.00  allocate_tifd_tags
  0.00     20.52     0.00     1798     0.00     0.00  extract_image_tags
  0.00     20.52     0.00     1798     0.00     0.00  extract_shape
  0.00     20.52     0.00     1798     0.00     0.00  new_tifd
  0.00     20.52     0.00     1798     0.00     0.00  optseek
  0.00     20.52     0.00      930     0.00     0.00  End_Of_Tiff
  0.00     20.52     0.00      930     0.00     0.00  determine_kind
  0.00     20.52     0.00      930     0.00     0.00  image_reader
  0.00     20.52     0.00      899     0.00     0.00  Free_Tiff_Channel
  0.00     20.52     0.00      899     0.00     0.00  Free_Tiff_Image
  0.00     20.52     0.00      899     0.00     0.00  Get_Tiff_IFD_Data_Flip
  0.00     20.52     0.00      899     0.00     0.00  Get_Tiff_Image
  0.00     20.52     0.00      899     0.00     0.00  Inc_Tiff_IFD
  0.00     20.52     0.00      899     0.00     0.00  Load_Tiff_Image_Planes
  0.00     20.52     0.00      899     0.00     0.00  allocate_timage_channels
  0.00     20.52     0.00      899     0.00     0.00  allocate_timage_map
  0.00     20.52     0.00      899     0.00     0.00  determine_type
  0.00     20.52     0.00      899     0.00     0.00  free_tiff_channel
  0.00     20.52     0.00      899     0.00     0.00  free_timage
  0.00     20.52     0.00      899     0.00     0.00  new_tiff_channel
  0.00     20.52     0.00      899     0.00     0.00  new_timage
  0.00     20.52     0.00      223     0.00     0.00  Guarded_Realloc
  0.00     20.52     0.00      186     0.00     0.00  AForm_Class
  0.00     20.52     0.00      125     0.00     0.00  tic
  0.00     20.52     0.00      125     0.00     0.00  toc
  0.00     20.52     0.00       93     0.00     0.00  AForm_Array
  0.00     20.52     0.00       62     0.00     0.00  AForm_Size
  0.00     20.52     0.00       62     0.00     0.00  Is_Frame
  0.00     20.52     0.00       62     0.00     0.00  Native_Endian
  0.00     20.52     0.00       62     0.00     0.00  Open_Tiff_Reader
  0.00     20.52     0.00       62     0.00     0.00  new_treader
  0.00     20.52     0.00       31     0.00     0.65  Convert_Array_Inplace
  0.00     20.52     0.00       31     0.00     0.00  Is_Slice
  0.00     20.52     0.00       31     0.00     0.00  Read_Image
  0.00     20.52     0.00       31     0.00     2.58  Scale_Array_To_Range
  0.00     20.52     0.00       31     0.00     0.00  Set_Array_Text
  0.00     20.52     0.00       31     0.00     0.65  convert_array
  0.00     20.52     0.00       31     0.00     0.00  image_depth
  0.00     20.52     0.00       31     0.00     0.00  read_array
  0.00     20.52     0.00       31     0.00     0.00  read_tiff
  0.00     20.52     0.00        4     0.00     0.00  Guarded_Realloc
  0.00     20.52     0.00        3     0.00     0.00  Guarded_Realloc

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.05% of 20.52 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     16.8    3.44    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::lower_bound<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long long const&) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]      6.0    1.24    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator*() const [2]
-----------------------------------------------
                                                 <spontaneous>
[3]      5.0    1.03    0.00                 void std::advance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >&, long) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      3.9    0.80    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator+=(long const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      3.6    0.74    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      3.0    0.62    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long* const&) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      2.9    0.60    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++() [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      2.8    0.58    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      2.5    0.51    0.00                 void lineageHyperTree::calculateGMMparametersFromNuclei<float>(std::_List_iterator<nucleus>&, float*, float*, float*) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     2.4    0.11    0.39                 main [10]
                0.00    0.27 2891299/2891299     Idx2CoordA [22]
                0.00    0.08      31/31          Scale_Array_To_Range [52]
                0.01    0.01 2891330/2891330     Free_Array [92]
                0.00    0.02      31/31          Convert_Array_Inplace [93]
                0.00    0.00      31/31          Read_Image [175]
                0.00    0.00      31/2891361     Make_Array [43]
                0.00    0.00     125/125         tic [218]
                0.00    0.00     125/125         toc [219]
-----------------------------------------------
                                                 <spontaneous>
[11]     2.1    0.43    0.00                 unsigned short supervoxel::trimSupervoxel<unsigned short>(int, float, int, long long*) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     2.0    0.42    0.00                 float supervoxel::trimSupervoxel<float>(int, float, int, long long*) [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     1.9    0.40    0.00                 void std::__advance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >&, long, std::random_access_iterator_tag) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     1.9    0.39    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     1.9    0.39    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator+(long const&) const [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     1.9    0.39    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::difference_type __gnu_cxx::operator-<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     1.8    0.36    0.00                 void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long) [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.6    0.33    0.00                 int lineageHyperTree::calculateNucleiIntensityCentroid<float>(std::_List_iterator<nucleus>&) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.6    0.33    0.00                 bool __gnu_cxx::operator!=<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.5    0.30    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator*() const [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.3    0.27    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator--() [21]
-----------------------------------------------
                0.00    0.27 2891299/2891299     main [10]
[22]     1.3    0.00    0.27 2891299         Idx2CoordA [22]
                0.17    0.10 2891299/2891299     coord4idx [23]
-----------------------------------------------
                0.17    0.10 2891299/2891299     Idx2CoordA [22]
[23]     1.3    0.17    0.10 2891299         coord4idx [23]
                0.01    0.08 2891299/2891361     Make_Array [43]
-----------------------------------------------
                                                 <spontaneous>
[24]     1.3    0.26    0.00                 supervoxel::intersectionSize(supervoxel const&) const [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     1.2    0.25    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     1.2    0.24    0.00                 bool __gnu_cxx::operator!=<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     1.1    0.24    0.00                 void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float) [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     1.1    0.22    0.00                 void std::__adjust_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, long, unsigned long long) [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     1.0    0.22    0.00                 std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     1.0    0.21    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator--() [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.8    0.17    0.00                 __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.8    0.17    0.00                 __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator*() const [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.8    0.17    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator++() [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.8    0.16    0.00                 std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.7    0.15    0.00                 bool __gnu_cxx::operator< <float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.7    0.14    0.00                 int supervoxel::weightedGaussianStatistics<unsigned short>(bool) [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.7    0.14    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::end() [37]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.7    0.14    0.00                 void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.6    0.13    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__copy_move_backward_a2<false, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.5    0.11    0.00                 supervoxel::otsuThreshold(float*, int) [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.5    0.11    0.00                 supervoxel::neighboringVoxels(supervoxel const&, int, long long*, std::vector<unsigned long long, std::allocator<unsigned long long> >&, std::vector<unsigned long long, std::allocator<unsigned long long> >&) [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.5    0.11    0.00                 __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&) [42]
-----------------------------------------------
                0.00    0.00      31/2891361     main [10]
                0.00    0.00      31/2891361     read_tiff [177]
                0.01    0.08 2891299/2891361     coord4idx [23]
[43]     0.5    0.02    0.09 2891361         Make_Array [43]
                0.03    0.04 2891361/2891361     make_shape [61]
                0.02    0.00 2891361/2891361     array_dsize [90]
                0.00    0.00 2891361/5782753     allocate_array_data [178]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.5    0.10    0.00                 __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++(int) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.5    0.10    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::size() const [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.5    0.10    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.5    0.10    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::operator[](unsigned long) [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.5    0.10    0.00                 void std::__introsort_loop<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long) [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.5    0.10    0.00                 unsigned long long const&&& std::forward<unsigned long long const&>(std::identity<unsigned long long const&>::type&&) [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.4    0.09    0.00                 bool __gnu_cxx::operator< <unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.4    0.09    0.00                 std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, std::random_access_iterator_tag) [51]
-----------------------------------------------
                0.00    0.08      31/31          main [10]
[52]     0.4    0.00    0.08      31         Scale_Array_To_Range [52]
                0.05    0.00      31/31          Scale_Array [63]
                0.03    0.00      31/31          Array_Range [79]
                0.00    0.00      31/93          AForm_Array [220]
                0.00    0.00      31/62          Is_Frame [222]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.4    0.08    0.00                 void std::swap<float>(float&, float&) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.4    0.08    0.00                 void std::sort_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.4    0.08    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.3    0.07    0.00                 void supervoxel::removeZeros<float>() [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.3    0.07    0.00                 std::deque<int, std::allocator<int> >::push_back(int const&) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.3    0.07    0.00                 void std::__push_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, long, long, unsigned long long) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.3    0.07    0.00                 void std::iter_swap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.3    0.07    0.00                 void std::partial_sort<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [60]
-----------------------------------------------
                0.03    0.04 2891361/2891361     Make_Array [43]
[61]     0.3    0.03    0.04 2891361         make_shape [61]
                0.02    0.02 2891361/2891361     make_start [71]
                0.00    0.00 2891361/2891361     array_size [181]
-----------------------------------------------
                                                 <spontaneous>
[62]     0.3    0.06    0.00                 void std::iter_swap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [62]
-----------------------------------------------
                0.05    0.00      31/31          Scale_Array_To_Range [52]
[63]     0.2    0.05    0.00      31         Scale_Array [63]
                0.00    0.00      31/93          AForm_Array [220]
                0.00    0.00      31/62          Is_Frame [222]
                0.00    0.00      31/62          AForm_Size [221]
                0.00    0.00      31/31          Is_Slice [226]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.2    0.05    0.00                 supervoxel::JaccardIndexWithOffset(supervoxel const&) [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.2    0.05    0.00                 supervoxel::numHoles() [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.2    0.05    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.2    0.05    0.00                 std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.2    0.05    0.00                 std::deque<int, std::allocator<int> >::pop_front() [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.2    0.05    0.00                 __gnu_cxx::__enable_if<std::__is_scalar<unsigned long long>::__value, unsigned long long*>::__type std::__fill_n_a<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&) [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.2    0.05    0.00                 void std::swap<unsigned long long>(unsigned long long&, unsigned long long&) [70]
-----------------------------------------------
                0.02    0.02 2891361/2891361     make_shape [61]
[71]     0.2    0.02    0.02 2891361         make_start [71]
                0.02    0.00 2891361/2891361     new_array [91]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.2    0.04    0.00                 float supervoxel::intensityThreshold<float>(int, float, unsigned int*, bool) [72]
-----------------------------------------------
                                                 <spontaneous>
